Место	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
66	UKR	Сергей Коновалов	290		4	1	4	3	3	-1	1	5	-1	2	-2	7	1	1	1
67	UKR	Никита Филь	290		1	2		1	4	6	4	2	2	-2	-4	3	5	3	2
68	BLR	Дмитрий Антонович	280		1			-5	8	1	1	3	2	7		6	2	1	1
69	RUS	Алексей Смолин	280		1	3	10	1	3	-2	6	-2	3	6	0	3	-6	1	1
70	UKR	Анна Дерюга	280		3	4	0	1	-1	1	1	3	2	0	0	5	1	8	0
71	RUS	Фёдор Жельне	280		1	3	1	2	3	1	1	3	1	1		3	3	4	1
72	ARM	Виктория Ананян	280		3	4	-1	1	6	-2	1	3	2		1	1	1	5	3
73	UKR	Анна Остапенко	270		1	1		1	-9	1	8	2	-2		6	8	7	3	0
74	RUS	Станислав Емельянов	250		1	1	0	0	3	-3	6	1	4	2	0	8	3	-2	1
75	BLR	Илья Борода	250		2	1	5	-4	2	1	4	2	5	-4	0	10	2	2	-3
76	BLR	Сергей Дзеранов	250		5		3	-4		-3		4	2	11	-5	7		4	1
77	RUS	Денис Мишин	240		1	6	-1	0	-1	-3	4	-3	3	0	2	2	7	4	3
78	RUS	Владимир Дойчев	240		1	1	0	-2	2	1	1	3	3	4	3	6	-1	1	1
79	LAT	Эдгар Умбрашко	240		2	1	1	-2	-2	5	4	4	6		1	3	3	-2	0
80	RUS	Станислав Утикеев	230			1	3	-1	3	1	5	4	-3	1	2	1	3	3	0
81	RUS	Елизавета Генералова	220		0	0	-1	5	3	-5	0	7	5	5	1	2	-1	1	0
82	RUS	Елизавета Ежергина́	220		7	-2	0	1	3	3	1	1	0	-1	-5	3	6	1	4
83	RUS	Дмитрий Вавер	220		4	1	0	1	-2	-1	-1	3	3	9	1	6	-3	1	0
84	AZE	Эльджан Исмаилов	220		-2	1	1	0	3	1	1	9	2	1	0	3	1	1	0
85	RUS	Николай Дорофеев	220		4	1	-2	1	1	-3	4	1	2		2	3	4	3	1
86	RUS	Дарья Забродина	210		4	1	-1	0	-1	-3	8	3	2	0	3	0	1	4	0
87	UKR	Артак Григорян	210		3	0	1	1	3	1	1	5	-1	1	0	3	1	1	1
88	RUS	Дарья Сесина	210		2	3	-1	1	3	3	4		2		-3	3	4	0	0
89	UKR	Вадим Дудник	200		1	3	3	-5	3	1	0	2	3	0	0	3	2	3	1
90	BLR	Владислав Дейкун	200		3	-2	12	-1	3	0	1	0	0	7	1	-3	3	1	-5
91	RUS	Елизавета Ко́роткова	200		3	1	1	4	3	-2	1	-2	4	0	1	-1	2	5	0
92	UKR	Андрей Гахун	200		3	2	1	1	5	-4	1	-2	4	-2	0	8	-1	1	3
93	BLR	Ирина Бурак	190		2	0	-1	3	3	1	1	2	5	0	2	1	0	0	0
94	BLR	Ярослав Полевой	190		3	3	5	1	1	-2	1	-4	2	3	1	1	0	3	1
95	BLR	Алексей Шевцов	190		1	2	-1	3	-1	1	8	5	-3	-8	-3	3	8	3	1
96	UKR	Мария Иванова	190			2	1	-1		3	-2	8				6	5	-3	0
97	RUS	Максим Дьяконов	180		-6	3	1	-3	1	3	6	0	-6	4	1	3	3	5	3
98	BLR	Евгений Дегтярёв	180		1	3	0	1	3	7	2	4	-11	3	0	-4	1	2	6
99	UKR	Валерия Чуприна	180		1	2	5		3	-3	-3	1	2	1		6	2	1	
100	BLR	Дмитрий Шаркевич	180		1	1	-1		3	1	1	4	1		-2	1	3	4	1
101	BLR	Вера Монина	170		5	3	3	-5	3	-3	-3	3	-2	2	0	3	3	4	1
