	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
68	RUS	Дмитрий Хмыров	210		-1	1	1	-6	3	6	2		2	4	-1	4	3	1	2
69	BLR	Ярослав Полевой	210		4	1	2	2	1	6		-2	2	-2		1		3	3
70	RUS	Дмитрий Макушев	210		0	1	5	-2	4	-1	1	0	0	0	3	3	0	4	3
71	RUS	Михаил Кипнис	200		0	1	1	4	1	-2	0	0	5	0	1	4	3	4	-2
72	RUS	Павел Семенюк	200			5	-2	1	4	3	2		4	-3		5		3	-2
73	UKR	Анна Хромяк	200		-2	5	1	4	3	6	-3	-2	1		-1	1		5	2
74	RUS	Фёдор Шамонин	190		3	8	1	-1	3	-1	1	-3	1	0	-1	6	4	3	-5
75	RUS	Александр Шевелёв	190		2	1	1	5	0	-4	2	0	2	0	1	3	0	5	1
76	RUS	Ольга Шиншинова	190		1	5	4	1	-4	4				2	1	1			4
77	BLR	Антон Воронько	190		8	2		4	1	3	-4	1	1			4	-3	1	1
78	BLR	Елизавета Лысенко	190		-2	8	-1	-1		8	-7		-4	3	3	7		-1	6
79	UKR	Артём Мельник	190		7	7	-3	-1	1	6	-6		2	6		-3		1	2
80	BLR	Евгений Дегтярёв	190		3	5	1	1	1	2	0	0	1	1	-1	1	0	-2	6
81	RUS	Артём Сапожников	180		3	3	0	0	1	3	-2	0	1	-2	1	5	4	0	1
82	RUS	Богдан Чадромцев	180		0	5	1	1	1	11	3	-5	0	-4	1	3	0	-1	2
83	RUS	Александр Сновский	180		-1	3	1	-4	-2	8		-1	3	1	1	2		4	3
84	BLR	Михаил Наталевич	170		1	5	-4	1	1	7	0	-3	2	1	0	3	0	1	2
85	RUS	Павел Деревянкин	170		-3	1	3	-3	1	6	2	-3	1	-1		2	4	4	3
86	RUS	Глеб Попов	170			3	1	1	1	7	-2	1	1			1		1	2
87	RUS	Александра Чирятьева	170		2	6	-2	1	2	-1	2		-3	-1		6	4		1
88	RUS	Иван Зепнов	170		6	-3	3	1	1	8	2		2	-1		-1		-2	1
89	UKR	Алина Рожкова	160		2	5	-1	-1	0	-1	2	0	1	0	1	2	0	4	2
90	RUS	Данил Дубинский	160			7	6	-1	-3	6	2	-6	-2	-1	1	5	4		-2
91	RUS	Георгий Паксютов	150		-2	4	6	3	1	8	-4	0	0	0	-2	1	-1	-2	3
92	UKR	Антон Куперман	150		6	1	3	1	1	2			3	-1		-4		3	
93	BLR	Мария Захарнёва	140		-1	8	1	0	0	1	0	2	2	0	0	1	0	-1	1
94	RUS	Глеб Николаев	140		-1	5	1	-5	1	5	-1		-2	1	1	8	-1	2	
95	UKR	Евгений Островерх	140		1	1	1	1	1		2		2	6		-3	-3	2	3
96	RUS	Татьяна Придченко	140		1	5	-1	-1	1	2		-1	1				2	3	2
97	BLR	Юрий Маханько	140		5	5	1	-1	1	2			3		-1	1			-2
98	RUS	Константин Шведов	120		4	8	2	5	0	2	-4	0	-3	0	0	0	0	-3	1
99	RUS	Алексей Плугатарёв	120		0	-1	3	1	1	6	2	-3	0	3	0	1	0	1	-2
100	BLR	Александр Койпаш	120		-2	-1	3	1	1	3	0	-2	1	1	0	1	4	4	-2
101	RUS	Игорь Стугирёв	120		4	5	-1	-1		1	1		1	-1	1	1			1
102	BLR	Ксения Воробьёва	120		-2	5	-1	1	1	3			-1	-2		4		1	3
103	BLR	Павел Чёрный	120		-1	1	6	-4	1	3	6		-1	-6		2		4	1
104	BLR	Юлия Ильина	110		2	1	-1	1	0	3	0	0	0	0	0	5	0	0	0
105	BLR	Антон Карпиевич	110		0	8	0	0	0	1	0	-1	0	-3	-3	5	0	3	1
106	UKR	Дмитрий Черненко	100		1	-3	1	1	1	5	0	-1	0	2	-2	3	3	-1	0
107	BLR	Алексей Шевцов	100		-2	3	8	-6	4	3	-7	-3	2	-2	0	-1	0	8	3
108	RUS	Мария Иванова	100		3	-2	4	3	3	-2	-7		-1	-2	-1	5	4	3	
109	UKR	Ольга Княгницкая	100		2	5	1	1								-1		1	1
110	POL	Антон Сёмчен	100			1	1	1	1	8			-3	-3				4	
111	BLR	Аким Малыщик	100		-1	1	1	-1		5	2	-1	2			1	-2	1	2
112	BLR	Алексей Бабак	90		-2	1	3	-1	1	0	3	-1	2	-4	-1	6	0	3	-1
113	RUS	Максим Дьяконов	90		1	1	2	1		-2	2	-5	4	-1	3	1		-1	3
114	UKR	Мишель Ладес	90			5	-1	1	-4	8		-2	2	-6		3			3
115	RUS	Дарья Сесина	80		-2	1	1	3	0	2	0	0	0	0	0	3	0	1	-1
116	RUS	Ангелина Барканова	80		0	1	-1	1	1	1	0	0	2	0	0	2	0	0	1
117	RUS	Юлия Лукьянова	80		1	5	1		-2	-4		1	4		-1	1			2
118	UKR	Евгения Шевчук	70		2	8	1	1	4	2	2		-4	-2	-7	3		-2	-1
119	UKR	Иван Метелёв	70			1	1		1	2		-3	1	-1	-3	3		4	1
120	RUS	Светлана Алыпова	60		1	1	1	5	0	2	0	-2	1	0	-5	-1	0	0	3
121	RUS	Никита Корчагин	60		1	5	1	-1	1	3	-4				-1	-1			2
122	RUS	Андрей Маврин	60		-1	5	1	1	-4		-2		3	1	-6	7		1	
123	AZE	Сара Салаева	60			1	-2	-1	5			-2				3			2
124	POL	Николай Шешко	60		5	1	1		1	-1		-2							1
125	RUS	Фёдор Жельне	50		0	5	3	3	-3	-7	1	0	-1	-1	-1	4	0	1	1
126	AZE	Абдул Гулиев	50		1	-1	-2	-1	1	2	0	-3	0	0	1	0	4	0	3
127	MDA	Димитрие Гынжу	50		-4	4	3	0	1	3	-4	-1	4	-2	4	-3	1	-2	1
128	UKR	Никита Ткаченко	50			1	1		1	1	2					-1			
129	RUS	Ярослав Марченко	50		2	-2	3	1	1	3	1	-3	4	-8		1		3	-1
130	UKR	Тарас Воловоденко	50		4	4			1		2	-3			-1	-3		1	
131	BLR	Мария Шакун	40		0	-1	0	1	0	0	-1	0	0	0	0	1	0	3	1
132	RUS	Павел Трубин	40		-5	7	3	1	1	1	-5	1	1		1	-3	4	1	-4
133	UKR	Алина Скиданова	40		-2	3	1	1		3		-1			-1	-1		1	
134	BLR	Илья Кутиков	40		3	1	4	-5	1	1		-1	-1	-6	-3	3	2	1	4
135	RUS	Александр Зайцев	40		2	5	4	3	-2	3		2	-4		1	-3		1	-8
